,property_id,region,city,location,property_type,furnishing_state,lease_term,availability,rent,deposit,beds,baths,size,pets,smoking,parking
530,309232,ON,Toronto,16 The Links Road,Apartment,Unfurnished,Long Term,Immediate,1689,"$1,689 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
511,309234,ON,Toronto,750 York Mills Road,Apartment,Unfurnished,Long Term,Immediate,2009,"$2,009 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
506,309238,ON,Toronto,111 Pacific Avenue,Apartment,Unfurnished,Long Term,Immediate,1929,"$1,929 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
517,309239,ON,Toronto,61 Yorkville Avenue,Apartment,Unfurnished,Long Term,Immediate,3099,"$3,099 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Covered
516,309240,ON,Toronto,150 Roehampton Avenue,Apartment,Unfurnished,Long Term,Immediate,1949,"$1,949 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Covered
591,309707,Braemar Park - Bel Air Heights - Copeland Park,Ottawa,10 Deerfield Drive,Townhouse,Unfurnished,Long Term,Immediate,1814,"$1,814 ",2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
567,309708,Parkwood Hills - Fisher glen,Ottawa,1343 Meadowlands Drive,Apartment,Unfurnished,Long Term,Immediate,1245,"$1,245 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
564,309709,Bayshore - Belltown,Ottawa,91 Valley Stream Drive,Apartment,Unfurnished,Long Term,Immediate,1619,"$1,619 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
556,309711,Braemar Park - Bel Air Heights - Copeland Park,Ottawa,18 & 20 Deerfield Drive,Apartment,Unfurnished,Long Term,Immediate,1420,"$1,420 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
504,309714,ON,Toronto,7 & 21 Richgrove Drive,Apartment,Unfurnished,Long Term,Immediate,1599,"$1,599 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
513,309715,ON,Toronto,177 Jameson Avenue,Apartment,Unfurnished,Long Term,Immediate,1479,"$1,479 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
548,309716,Centretown,Ottawa,185 Lyon Street North,Apartment,Unfurnished,Long Term,Immediate,1859,"$1,859 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Covered
550,309717,Centretown,Ottawa,221 Lyon Street North,Apartment,Unfurnished,Long Term,Immediate,2189,"$2,189 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Covered
571,310984,Faircrest,Ottawa,1833 Frobisher Lane,Apartment,Unfurnished,Long Term,Immediate,1705,"$1,705 ",2 bd,1 ba,870 ft2,Cats & dogs negotiable,Non-smoking,Covered
479,312418,ON,Mississauga,1286 Islington Avenue,Apartment,Unfurnished,Long Term,Immediate,2650,"$2,650 ",3 bd,1.5 ba,1080 ft2,Cats & dogs negotiable,Non-smoking,Underground
707,312781,PE,Charlottetown,20 Spring Lane,Apartment,Unfurnished,Long Term,Call for Availability,1096,"$1,096 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
331,313480,Nutana Park,Saskatoon,235 Willis Crescent,Apartment,Unfurnished,Long Term,Immediate,1455,Other,2 bd,2 ba,,Cats & dogs allowed,Non-smoking,Outdoor
342,313482,Silverwood Heights,Saskatoon,235 Lenore Drive,Apartment,Unfurnished,Long Term,Immediate,1320,Other,2 bd,1 ba,,Cats & dogs allowed,Non-smoking,Outdoor
336,313484,Sutherland,Saskatoon,300 108 St,Apartment,Unfurnished,Long Term,Immediate,1065,Other,1 bd,1 ba,629 ft2,Cats & dogs allowed,Non-smoking,Outdoor
158,314053,Panorama Hills,Calgary,1213 - 60 Panatella Street Northwest,Condo,Unfurnished,Negotiable,Immediate,1200,"$1,200 ",1 bd,1 ba,600 ft2,No pets,Non-smoking,
338,316885,Lakeview,Saskatoon,235 Stillwater Drive,Apartment,Unfurnished,Long Term,Immediate,1055,Other,1 bd,1 ba,,Cats & dogs allowed,Non-smoking,Outdoor
324,316886,Buena Vista,Saskatoon,424 Main Street,Apartment,Unfurnished,Long Term,Immediate,945,Other,2 bd,1 ba,695 ft2,Cats & dogs allowed,Non-smoking,Outdoor
390,316887,Arcola East-South Side,Regina,75 Michener Drive,Apartment,Unfurnished,Long Term,Immediate,1035,Other,2 bd,1 ba,831 ft2,Cats & dogs allowed,Non-smoking,Outdoor
387,317015,Lakewood,Regina,6703 Rochdale Blvd,Apartment,Unfurnished,Long Term,Immediate,1065,Other,1 bd,1 ba,583 ft2,Cats & dogs allowed,Non-smoking,Outdoor
201,318409,Summerside,Edmonton,2105 68 Street SW,Apartment,Unfurnished,Long Term,Immediate,1188,"$1,188 ",1 bd,1 ba,693 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
41,318412,Fairview,Vancouver,1755 West 14th Avenue,Apartment,Unfurnished,Long Term,Immediate,2350,"$2,350 ",1 bd,1 ba,618 ft2,Cats & dogs negotiable,Non-smoking,Underground
714,321119,NL,St-John-S,251 Anspach St,Apartment,Unfurnished,Long Term,Immediate,800,$800 ,studio,1 ba,306 ft2,Cats & dogs negotiable,Non-smoking,Street
712,321121,NL,St-John-S,50 Keane Place,Apartment,Unfurnished,Long Term,Immediate,875,$875 ,1 bd,1 ba,,Cats negotiable,Non-smoking,Outdoor
720,321122,NL,St-John-S,27 Pasadena Crescent,Apartment,Unfurnished,Long Term,Immediate,890,$890 ,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
708,321123,NL,St-John-S,"6, 7, & 15 Charter Court, 819 - 821 Veteran's Road",Apartment,Unfurnished,Long Term,Immediate,1035,"$1,035 ",3 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
718,321124,NL,St-John-S,66 St. Clare Avenue,Apartment,Unfurnished,Long Term,Immediate,850,$850 ,1 bd,1 ba,,No pets,Non-smoking,Outdoor
717,321125,NL,St-John-S,2 St. George's Court,Apartment,Unfurnished,Long Term,Immediate,935,$935 ,1 bd,1 ba,475 ft2,Cats negotiable,Non-smoking,Outdoor
716,321126,NL,St-John-S,12 Blackmarsh Rd,Apartment,Unfurnished,Long Term,Immediate,910,$910 ,studio,1 ba,435 ft2,Cats negotiable,Non-smoking,Outdoor
715,321133,NL,St-John-S,80 The Boulevard,Apartment,Unfurnished,Long Term,Immediate,805,$805 ,studio,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
713,321136,NL,St-John-S,346 Empire Avenue,Apartment,Unfurnished,Long Term,Immediate,750,$750 ,studio,1 ba,,No pets,Non-smoking,Street
711,321147,NL,St-John-S,"85 & 89 MacDonald Drive, 25 Wadland Crescent, 137 Ennis Avenue",Apartment,Unfurnished,Long Term,Immediate,1005,"$1,005 ",2 bd,1 ba,,No pets,Non-smoking,Outdoor
190,323611,Cromdale,Edmonton,8515 106A Avenue NW,Apartment,Unfurnished,Long Term,Immediate,1017,Other,1 bd,1 ba,585 ft2,Cats & dogs allowed,Non-smoking,Outdoor
599,327422,QC,Montreal,939 Boulevard de la Cote Vertu,Apartment,Unfurnished,Long Term,Immediate,930,$930 ,1 bd,1 ba,,No pets,Non-smoking,Outdoor
719,327760,NL,St-John-S,35 Tiffany Lane,Apartment,Unfurnished,Long Term,Immediate,950,$950 ,1 bd,1 ba,510 ft2,No pets,Non-smoking,Outdoor
379,328418,Downtown,Regina,2155 Rose Street,Apartment,Unfurnished,Long Term,Immediate,875,$99 ,1 bd,1 ba,675 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
376,328491,Cathedral,Regina,1520 Alexandra Street,Apartment,Unfurnished,Long Term,Immediate,974,$99 ,1 bd,1 ba,650 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
375,328494,Cathedral,Regina,1538 Alexandra Street,Apartment,Unfurnished,Long Term,Immediate,974,$99 ,1 bd,1 ba,650 ft2,Cats & dogs negotiable,Smoking allowed,Outdoor
386,328638,Albert Park,Regina,3025 Parliament Avenue,Apartment,Unfurnished,Long Term,Immediate,994,$99 ,1 bd,1 ba,675 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
388,328688,Albert Park,Regina,4039 Retallack Street,Apartment,Unfurnished,Long Term,Immediate,994,$99 ,1 bd,1 ba,675 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
385,328690,Albert Park,Regina,4049 Retallack Street,Apartment,Unfurnished,Long Term,Immediate,849,$99 ,1 bd,1 ba,675 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
380,328694,Albert Park,Regina,4100 Retallack Street,Apartment,Unfurnished,Long Term,Immediate,814,$99 ,1 bd,1 ba,650 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
377,328695,Albert Park,Regina,4130 Rae Street,Apartment,Unfurnished,Long Term,Immediate,1154,$99 ,2 bd,1 ba,910 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
381,328711,Albert Park,Regina,4050 Rae Street,Apartment,Unfurnished,Long Term,Immediate,994,$99 ,1 bd,1 ba,675 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
667,330150,NS,Halifax,104 Albro Lake Road,Apartment,Unfurnished,Long Term,Immediate,779,$779 ,1 bd,1 ba,,No pets,Non-smoking,Outdoor
690,330189,NS,Halifax,28 Primrose Street,Apartment,Unfurnished,Long Term,No Vacancy,639,1 month,1 bd,1 ba,,No pets,Non-smoking,Outdoor
665,330231,NS,Halifax,3 Autumn Drive,Apartment,Unfurnished,Long Term,Immediate,769,$769 ,1 bd,1 ba,,No pets,Non-smoking,Street
691,330232,NS,Halifax,30 Primrose Street,Apartment,Unfurnished,Long Term,No Vacancy,639,1 month,1 bd,1 ba,,No pets,Non-smoking,Outdoor
603,330553,QC,Montreal,1285 Decarie Street,Apartment,Unfurnished,Long Term,Immediate,1150,"$1,150 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
602,330554,QC,Montreal,395 Cote Vertu,Apartment,Unfurnished,Long Term,Immediate,780,$780 ,1 bd,1 ba,,Cats negotiable,Non-smoking,Outdoor
600,330555,QC,Montreal,325 Cote Vertu,Apartment,Unfurnished,Long Term,Immediate,790,$790 ,1 bd,1 ba,,No pets,Non-smoking,Covered
562,331100,QC,Ottawa,400 & 405 Boulevard des Grives,Apartment,Unfurnished,Long Term,Immediate,1270,"$1,270 ",2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
560,331134,QC,Ottawa,10 Rue Radisson,Apartment,Unfurnished,Long Term,Immediate,969,$969 ,1 bd,1 ba,682 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
559,331135,QC,Ottawa,65& 71 Boulevard Fournier & 15 Rue Beriault,Apartment,Unfurnished,Long Term,Immediate,899,$899 ,1 bd,1 ba,555 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
293,331603,Lower Townsite,Fort-Mcmurray,9600 Manning Avenue,Apartment,Unfurnished,Long Term,Immediate,1050,"$1,050 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
298,331641,Timberlea,Fort-Mcmurray,104 Loutit Road,Townhouse,Unfurnished,Long Term,Immediate,1950,"$1,950 ",2 bd,2.5 ba,,Cats & dogs negotiable,Non-smoking,Single garage
344,333579,Pleasant Hill,Saskatoon,125 Avenue O S,Apartment,Unfurnished,Long Term,Immediate,629,Ask,1 bd,1 ba,480 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
308,333580,Caswell Hill,Saskatoon,110 25th St W,Apartment,Unfurnished,Long Term,Immediate,874,Ask,1 bd,1 ba,543 ft2,Cats & dogs negotiable,Non-smoking,Covered
333,333585,Massey Place,Saskatoon,865 Confederation Dr,Apartment,Unfurnished,Long Term,Immediate,744,Ask,1 bd,1 ba,660 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
349,333590,Confederation Park,Saskatoon,3730 Diefenbaker Dr,Apartment,Unfurnished,Long Term,Immediate,689,Ask,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
347,333593,Grosvenor Park,Saskatoon,1506 Main St,Apartment,Unfurnished,Long Term,Immediate,1009,Ask,1 bd,1 ba,453 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
337,333594,Pleasant Hill,Saskatoon,205 Avenue R S,Apartment,Unfurnished,Long Term,Immediate,504,Ask,1 bd,1 ba,600 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
350,333599,Pleasant Hill,Saskatoon,208 Avenue V South,Apartment,Unfurnished,Long Term,Immediate,749,Ask,1 bd,1 ba,501 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
340,333600,Mount Royal,Saskatoon,1814 22 Street W,Apartment,Unfurnished,Long Term,Immediate,924,Ask,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
339,333601,City Park,Saskatoon,427 4th Avenue N,Apartment,Unfurnished,Long Term,Immediate,949,Ask,1 bd,1 ba,475 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
346,333602,Nutana Park,Saskatoon,74 Dumont Crescent,Apartment,Unfurnished,Long Term,Immediate,1034,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
351,333606,Massey Place,Saskatoon,1020 Matheson Drive,Apartment,Unfurnished,Long Term,Immediate,849,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
341,333607,Hudson Bay Park,Saskatoon,1621 33 St W,Apartment,Unfurnished,Long Term,Immediate,954,Ask,2 bd,1 ba,750 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
50,333611,BC,Vancouver,935 Marine Drive,Apartment,Unfurnished,Long Term,Immediate,1850,$925 ,1 bd,1 ba,678 ft2,Cats & dogs negotiable,Non-smoking,Underground
0,333673,Downtown,Victoria,819 Yates Street,Apartment,Unfurnished,Long Term,Immediate,1740,"$1,740 ",1 bd,1 ba,612 ft2,Cats & dogs negotiable,Smoke free building,Underground
359,334118,North Central,Regina,1454 Rae St,Apartment,Unfurnished,Long Term,Immediate,824,Ask,1 bd,1 ba,535 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
357,334119,Core,Regina,1602 Victoria Ave,Apartment,Unfurnished,Long Term,Immediate,724,Ask,1 bd,1 ba,405 ft2,Cats & dogs negotiable,Non-smoking,Street
360,334125,North Central,Regina,2901 5th Ave,Apartment,Unfurnished,Long Term,Immediate,799,Ask,1 bd,1 ba,469 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
187,334286,Elmwood Park,Edmonton,7315 Yellowhead Trail,Apartment,Unfurnished,Long Term,Immediate,744,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
358,334300,Coronation Park,Regina,445 & 453 Retallack Street,Apartment,Unfurnished,Long Term,Immediate,949,Ask,2 bd,1 ba,1000 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
572,335046,Parkwood Hills - Fisher glen,Ottawa,1343 Meadowlands Drive,House,Unfurnished,Long Term,Immediate,1865,"$1,865 ",3 bd,1.5 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
570,335047,Parkwood Hills - Fisher glen,Ottawa,1343 Meadowlands Drive,Townhouse,Unfurnished,Long Term,Immediate,1729,"$1,729 ",3 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
553,335051,Parkwood Hills - Fisher glen,Ottawa,30 Eleanor Drive,Apartment,Unfurnished,Long Term,Immediate,1609,"$1,609 ",2 bd,1.5 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
552,335061,Braemar Park - Bel Air Heights - Copeland Park,Ottawa,10 Deerfield Drive,Apartment,Unfurnished,Long Term,Immediate,1559,"$1,559 ",2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
345,335737,Greystone Heights,Saskatoon,8/12/16/20 Bateman Cres,Apartment,Unfurnished,Long Term,Immediate,849,$350 ,1 bd,1 ba,459 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
473,335828,ON,Mississauga,2700 Aquitaine Avenue,Apartment,Unfurnished,Long Term,Immediate,2089,"$2,089 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Covered
668,336566,NS,Halifax,995 Mclean Street,Apartment,Unfurnished,Long Term,1-Dec-21,1375,$688 ,2 bd,1 ba,,Cats negotiable,Non-smoking,Underground
528,337270,ON,Toronto,10 Roanoke Road,Apartment,Unfurnished,Long Term,Immediate,1948,"$1,948 ",1 bd,1 ba,800 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
453,337475,ON,Mississauga,3620 Kaneff Crescent,Apartment,Unfurnished,Long Term,Immediate,2046,"$2,046 ",1 bd,1 ba,770 ft2,Cats & dogs negotiable,Non-smoking,Underground
536,337475,ON,Toronto,3620 Kaneff Crescent,Apartment,Unfurnished,Long Term,Immediate,2046,"$2,046 ",1 bd,1 ba,770 ft2,Cats & dogs negotiable,Non-smoking,Underground
533,338362,ON,Toronto,235 Bloor Street East,Apartment,Unfurnished,Long Term,Immediate,2058,"$2,058 ",1 bd,1 ba,670 ft2,Cats & dogs negotiable,Non-smoking,Covered
105,338551,BC,Kelowna,3533 Carrington Rd,Condo,Unfurnished,Long Term,1-Dec-21,1650,$825 ,2 bd,2 ba,,Cats & dogs negotiable,Non-smoking,Underground
147,338557,Altadore,Calgary,1543 34 Ave SW,Apartment,Unfurnished,Long Term,Immediate,1100,"$1,100 ",2 bd,1 ba,850 ft2,No pets,Non-smoking,Street
343,339323,Stonebridge,Saskatoon,241 Willis Cres,Apartment,Unfurnished,Long Term,Immediate,1295,Other,1 bd,1 ba,607 ft2,Cats & dogs allowed,Non-smoking,Underground
253,342524,Downtown,Red-Deer,4815 46 Street,Apartment,Unfurnished,Long Term,Immediate,874,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
237,342525,Downtown,Red-Deer,4821 46 Street,Apartment,Unfurnished,Long Term,Immediate,1024,Ask,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
43,343047,BC,Vancouver,4769 Hazel Street,Apartment,Unfurnished,Long Term,Immediate,1950,$975 ,1 bd,1 ba,650 ft2,Cats & dogs negotiable,Non-smoking,Covered
531,343048,ON,Toronto,44 Jackes Avenue,Apartment,Unfurnished,Long Term,Immediate,1661,"$1,661 ",1 bd,1 ba,423 ft2,Cats negotiable,Non-smoking,Covered
119,343049,Lakeview,Calgary,2528 66 Avenue SW,Apartment,Unfurnished,Long Term,Immediate,1235,"$1,235 ",1 bd,1 ba,613 ft2,Cats negotiable,Smoke free building,Outdoor
151,343051,Bayview,Calgary,2105 90th Avenue SW,Apartment,Unfurnished,Long Term,Immediate,1333,"$1,333 ",1 bd,1 ba,790 ft2,Cats & dogs negotiable,Non-smoking,Covered
47,343052,Yaletown,Vancouver,930 Seymour Street,Apartment,Unfurnished,Long Term,Immediate,2190,"$1,095 ",1 bd,1 ba,513 ft2,No pets,Non-smoking,Underground
303,343857,Abasand,Fort-Mcmurray,15 Saunderson,Apartment,Unfurnished,Long Term,Immediate,835,$150 ,1 bd,1 ba,,No pets,Non-smoking,Outdoor
302,343858,Abasand,Fort-Mcmurray,16 Saunderson,Apartment,Unfurnished,Long Term,Immediate,885,$150 ,1 bd,1 ba,,No pets,Non-smoking,Outdoor
241,344430,West Park,Red-Deer,4250 54 Avenue,Townhouse,Unfurnished,Long Term,Immediate,1039,Ask,3 bd,1 ba,1260 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
239,344431,Kentwood West,Red-Deer,47 Kitson Close,Townhouse,Unfurnished,Long Term,Immediate,1249,Ask,3 bd,1 ba,1447 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
247,344432,Highland Green,Red-Deer,27 Halman Crescent,Townhouse,Unfurnished,Long Term,Immediate,1149,Ask,3 bd,1 ba,1260 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
249,344433,Kentwood East,Red-Deer,57 Kyte Crescent,Townhouse,Unfurnished,Long Term,Immediate,1199,Ask,3 bd,1 ba,1260 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
235,344434,Riverside Meadows,Red-Deer,5816 53 Avenue,Townhouse,Unfurnished,Long Term,Immediate,1054,Ask,3 bd,1 ba,1260 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
319,345280,City Park,Saskatoon,528 3rd Avenue North,Apartment,Unfurnished,Long Term,Immediate,900,$500 ,1 bd,1 ba,,Cats negotiable,Non-smoking,Outdoor
252,347457,Waskasoo,Red-Deer,5516 47A Avenue,Apartment,Unfurnished,Long Term,Immediate,884,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
274,348334,Lower Townsite,Fort-Mcmurray,"309 - F-13 , Clearwater Crecent",Apartment,Furnished,Negotiable,Immediate,1100,$550 ,2 bd + den,1 ba,1050 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
244,351166,South Hill,Red-Deer,3920 50th Ave,Apartment,Unfurnished,Long Term,Immediate,789,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
117,351340,Beltline,Calgary,605 13 Ave SW,Apartment,Unfurnished,Long Term,Immediate,925,$925 ,1 bd,1 ba,484 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
86,352755,BC,Kelowna,724 Valley Road,Apartment,Unfurnished,Long Term,Immediate,1925,"$1,925 ",2 bd,2 ba,841 ft2,Cats & dogs negotiable,Non-smoking,Underground
617,354062,QC,Montreal,360 Boulevard René-Lévesque Ouest,Apartment,Unfurnished,Long Term,Immediate,1725,"$1,725 ",1 bd,1 ba,631 ft2,Cats & dogs negotiable,Non-smoking,Underground
609,354068,QC,Montreal,1380 Boulevard Rene-Lévesque Ouest,Apartment,Unfurnished,Long Term,Immediate,1495,"$1,495 ",1 bd,1 ba,503 ft2,Cats & dogs negotiable,Non-smoking,Underground
616,354069,QC,Montreal,280 Boulevard René-Levésque Ouest,Apartment,Unfurnished,Long Term,Immediate,1600,"$1,600 ",1 bd,1 ba,556 ft2,Cats & dogs negotiable,Non-smoking,Underground
243,354692,Downtown,Red-Deer,4822 54 Street,Apartment,Unfurnished,Long Term,Immediate,909,Ask,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
87,355823,BC,Kelowna,"3605, 3615, 3625 & 3635 Carrington Road",Apartment,Unfurnished,Long Term,Immediate,1525,"$1,525 ",1 bd,1 ba,593 ft2,Cats & dogs negotiable,Non-smoking,Underground
191,358143,Killarney,Edmonton,8217 130 Ave,Townhouse,Unfurnished,Long Term,Immediate,1023,Ask,2 bd,1 ba,952 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
326,358604,City Park,Saskatoon,901 7th Avenue North,Apartment,Unfurnished,Long Term,Immediate,750,$500 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
384,359907,Downtown,Regina,1424 Victoria Ave,Apartment,Unfurnished,Long Term,Immediate,799,$99 ,1 bd,1 ba,520 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
382,359910,Rosemont - Mount Royal,Regina,909 Grey St,Apartment,Unfurnished,Long Term,Immediate,854,$99 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
44,360532,Downtown,Vancouver,1022 Nelson Street,Apartment,Unfurnished,Long Term,Immediate,2650,"$2,650 ",2 bd,1 ba,691 ft2,No pets,Non-smoking,Underground
307,360567,Abasand,Fort-Mcmurray,201 Abasand Drive,Apartment,Unfurnished,Negotiable,Immediate,1400,1000,2 bd,1 ba,,No pets,Non-smoking,Underground
265,362442,Abasand,Fort-Mcmurray,401 Athabasca Avenue,Townhouse,Unfurnished,Negotiable,Immediate,2245,"$2,245 ",3 bd,2.5 ba,1250 ft2,Cats & dogs negotiable,Non-smoking,
669,364827,NS,Halifax,5633 Fenwick St,Apartment,Unfurnished,Long Term,1-Dec-21,2300,"$2,300 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
447,368637,Chevrier,Winnipeg,745 Ballantrae Drive,Apartment,Unfurnished,Long Term,Immediate,1258,Half Monthly Rent,1 bd,1 ba,651 ft2,Cats & dogs allowed,Non-smoking,Underground
411,368870,Peguis,Winnipeg,11 El Tassi Drive,Apartment,Unfurnished,Long Term,Immediate,1260,"$1,260 ",1 bd,1 ba,564 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
527,369258,ON,Toronto,88 Scott St,Apartment,Unfurnished,Long Term,Immediate,2992,"$2,992 ",2 bd,2 ba,771 ft2,Cats & dogs negotiable,Non-smoking,Street
423,369487,Alpine Place,Winnipeg,66 Morrow Ave,Apartment,Unfurnished,Long Term,Immediate,1025,512.5,1 bd,1 ba,563 ft2,Cats & dogs negotiable,Smoking allowed,Outdoor
575,369950,Centretown,Ottawa,199 Slater Street,Apartment,Furnished,Long Term,Immediate,1650,"$1,650 ",1 bd,1 ba,,No pets,Non-smoking,Street
288,370408,Lower Townsite,Fort-Mcmurray,132-21 MacDonald Drive,Condo,Furnished,Long Term,Immediate,1385,"$1,385 ",2 bd,1 ba,800 ft2,No pets,Non-smoking,
259,370513,Eastview,Red-Deer,Eastview,Apartment,Unfurnished,Negotiable,Immediate,950,$950 ,3 bd + den,1 ba,,No pets,Non-smoking,Outdoor
410,372740,Southdale,Winnipeg,30-50 De La Seigneurie,Apartment,Unfurnished,Long Term,Immediate,1225,"$1,225 ",1 bd,1 ba,,Cats & dogs negotiable,Smoke free building,Outdoor
409,372746,Earl Grey,Winnipeg,825 Corydon Avenue,Apartment,Unfurnished,Long Term,Immediate,1028,"$1,028 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
407,372767,Fort Richmond,Winnipeg,88 Killarney Avenue,Apartment,Unfurnished,Long Term,Immediate,1040,"$1,040 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
424,372768,Old Tuxedo,Winnipeg,1918/1924/1945 Portage,Apartment,Unfurnished,Long Term,Immediate,1011,"$1,011 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
563,372799,Centretown,Ottawa,182 Lisgar Street,Apartment,Unfurnished,Long Term,Immediate,1200,"$1,200 ",studio,1 ba,,Cats & dogs negotiable,Smoking allowed,Street
332,373405,Massey Place,Saskatoon,3110 33 Street W,Apartment,Unfurnished,Long Term,Immediate,844,Ask,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
422,373876,Inkster Gardens,Winnipeg,90 Waterford Green Common & 10 Highwater Path,Apartment,Unfurnished,Long Term,Immediate,1335,"$1,335 ",1 bd,1 ba,591 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
432,374208,North St. Boniface,Winnipeg,325 Provencher Boulevard,Duplex,Unfurnished,Long Term,Immediate,895,$895 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Street
398,374864,Northeast Regina,Regina,47 Angus Rd,Apartment,Unfurnished,Long Term,Immediate,825,$825 ,1 bd,1 ba,,No pets,Non-smoking,Outdoor
109,375603,BC,Kelowna,"1310, 1311, 1312, 1314 Lawson Avenue",Apartment,Unfurnished,Long Term,1-Dec-21,1375,"$1,375 ",1 bd,1 ba,742 ft2,No pets,Non-smoking,Street
444,375640,Kensington,Winnipeg,299 Queen Street,Apartment,Unfurnished,Long Term,Immediate,1211,"$1,211 ",2 bd,1 ba,771 ft2,Cats negotiable,Non-smoking,Outdoor
415,375642,Worthington,Winnipeg,200 Beliveau Road,Apartment,Unfurnished,Long Term,Immediate,1011,"$1,011 ",1 bd,1 ba,600 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
52,376352,BC,Vancouver,900 Carnarvon Street,Apartment,Unfurnished,Long Term,Immediate,1949,$975 ,1 bd,1 ba,554 ft2,Cats & dogs negotiable,Non-smoking,Covered
